2023,1.4753349446777672E-7,6778121.833333333
2022,1.1781818589868586E-7,8487654.027027028
2021,3.502779956988003E-7,2854875.3055555555
2020,2.5926674470030303E-7,3857031.495327103
2019,3.1715839776842276E-7,3152998.65
2018,1.4079548234517793E-7,7102500.615384615
2017,8.769098269712558E-7,1140368.1076923078
2016,3.4012757175805785E-7,2940073.3225806453
2015,1.1993647057412511E-6,833774.7435897436
2014,7.626249936644929E-8,1.31126046E7
2013,3.181971853702506E-7,3142705.36
2012,6.190099263786993E-7,1615482.9791666667
2011,3.321015401530313E-7,3011127.2580645164
2010,7.892500038040015E-7,1267025.6511627906
2009,1.0236680256181615E-6,976879.1981132076
2008,1.0097800242614886E-6,990314.6982248521
2007,1.600390229785493E-6,624847.6036585366
2006,8.359607451094799E-7,1196228.4184397163
2005,2.2869808330353354E-6,437257.7091836735
2004,1.374180988855421E-6,727706.1814345991
2003,3.427765192924208E-6,291735.2688172043
